,traditional,pinyin,pinyin(raw),tone,definition,variants,measure-words
109,㺢,huò,huo,4,['see \xe3\xba\xa2\xe3\xb9\xa2\xe7\x8b\x93[huo4 jia1 pi1]'],[],[]
110,㺵,jiǔ,jiu,3,['black jade'],"[{u'ch': '\xe7\x8e\x96', u'py': 'jiu3', u'chs': '\xe7\x8e\x96', u'vartype': ''}]",[]
111,㻽,xuán,xuan,2,['also pr. [sui4]'],"[{u'ch': '\xe7\x92\xbf', u'py': 'xuan2', u'chs': '\xe7\x92\x87', u'vartype': ''}]",[]
112,㼝,wǎn,wan,3,[],"[{u'ch': '\xe7\xa2\x97', u'py': 'wan3', u'chs': '\xe7\xa2\x97', u'vartype': ''}]",[]
113,㽞,liú,liu,2,[],"[{u'ch': '\xe7\x95\x99', u'py': 'liu2', u'chs': '\xe7\x95\x99', u'vartype': 'old'}]",[]
114,㽮,xīng,xing,1,[],"[{u'ch': '\xe6\x98\x9f', u'py': 'xing1', u'chs': '\xe6\x98\x9f', u'vartype': 'old'}]",[]
115,㿜,biě,bie,3,[],"[{u'ch': '\xe7\x99\x9f', u'py': 'bie3', u'chs': '\xe7\x98\xaa', u'vartype': ''}]",[]
116,㿝,xiāng,xiang,1,[],"[{u'ch': '\xe9\xa6\x99', u'py': 'xiang1', u'chs': '\xe9\xa6\x99', u'vartype': 'old'}]",[]
117,䂖,shí,shi,2,[],"[{u'ch': '\xe7\x9f\xb3', u'py': 'shi2', u'chs': '\xe7\x9f\xb3', u'vartype': ''}]",[]
118,䂲,fǎ,fa,3,[],"[{u'ch': '\xe7\xa0\x9d', u'py': 'fa3', u'chs': '\xe7\xa0\x9d', u'vartype': ''}]",[]
119,䂶,jié,jie,2,[],"[{u'ch': '\xe8\x9c\x90', u'py': 'jie2', u'chs': '\xe8\x9c\x90', u'vartype': ''}]",[]
120,䃉,mín,min,2,[],"[{u'ch': '\xe7\x8f\x89', u'py': 'min2', u'chs': '\xe7\x8f\x89', u'vartype': 'old'}]",[]
121,䅵,zhuó,zhuo,2,"['chaff', 'bran']",[],[]
122,䇲,cè,ce,4,[],"[{u'ch': '\xe7\xad\xb4', u'py': 'ce4', u'chs': '\xe7\xad\x96', u'vartype': ''}]",[]
123,䈰,shāo,shao,1,"['pot-scrubbing brush made of bamboo strips', 'basket (container) for chopsticks']","[{u'ch': '\xe7\xad\xb2', u'py': 'shao1', u'chs': '\xe7\xad\xb2', u'vartype': ''}]",[]
124,䊀,hú,hu,2,[],"[{u'ch': '\xe7\xb3\x8a', u'py': 'hu2', u'chs': '\xe7\xb3\x8a', u'vartype': ''}]",[]
125,䍃,yáo,yao,2,"['(archaic) vase', 'pitcher']",[],[]
126,䍹,shān,shan,1,[],"[{u'ch': '\xe7\xbe\xb6', u'py': 'shan1', u'chs': '\xe7\xbe\xb6', u'vartype': ''}]",[]
127,䒗,qì,qi,4,[],"[{u'ch': '\xe8\x8a\x9e', u'py': 'qi4', u'chs': '\xe8\x8a\x9e', u'vartype': 'old'}]",[]
128,䔢,huá,hua,2,[],"[{u'ch': '\xe8\x8f\xaf', u'py': 'hua2', u'chs': '\xe5\x8d\x8e', u'vartype': 'old'}]",[]
129,䕭,qián,qian,2,"['a variety of grass', 'nettle']",[],[]
130,䕭,xián,xian,2,['a kind of vegetable'],[],[]
131,䖟,méng,meng,2,[],"[{u'ch': '\xe8\x99\xbb', u'py': 'meng2', u'chs': '\xe8\x99\xbb', u'vartype': 'old'}]",[]
132,䖸,é,e,2,[],"[{u'ch': '\xe8\x9b\xbe', u'py': 'e2', u'chs': '\xe8\x9b\xbe', u'vartype': ''}]",[]
133,䗈,méng,meng,2,[],"[{u'ch': '\xe8\x99\xbb', u'py': 'meng2', u'chs': '\xe8\x99\xbb', u'vartype': 'old'}]",[]
134,䗥,zōng,zong,1,['see \xe8\x9e\x89\xe4\x97\xa5[weng1 zong1]'],[],[]
135,䗪,zhè,zhe,4,['Chinese ground beetle (Eupolyphaga sinensis)'],[],[]
136,䗬,fēng,feng,1,[],"[{u'ch': '\xe8\x9c\x82', u'py': 'feng1', u'chs': '\xe8\x9c\x82', u'vartype': ''}]",[]
137,䗶,là,la,4,[],"[{u'ch': '\xe8\xa0\x9f', u'py': 'la4', u'chs': '\xe8\x9c\xa1', u'vartype': 'old'}]",[]
138,䘏,xù,xu,4,[],"[{u'ch': '\xe6\x81\xa4', u'py': 'xu4', u'chs': '\xe6\x81\xa4', u'vartype': ''}]",[]
139,䘑,mài,mai,4,[],"[{u'ch': '\xe8\x84\x88', u'py': 'mai4', u'chs': '\xe8\x84\x89', u'vartype': 'old'}]",[]
140,䘚,zú,zu,2,[],"[{u'ch': '\xe5\x8d\x92', u'py': 'zu2', u'chs': '\xe5\x8d\x92', u'vartype': ''}]",[]
141,䛐,cí,ci,2,[],"[{u'ch': '\xe8\xa9\x9e', u'py': 'ci2', u'chs': '\xe8\xaf\x8d', u'vartype': 'old'}]",[]
142,䛟,jiá,jia,2,[],"[{u'ch': '\xe5\x94\x8a', u'py': 'jia2', u'chs': '\xe5\x94\x8a', u'vartype': ''}]",[]
143,䝓,liè,lie,4,[],"[{u'ch': '\xe9\xac\xa3', u'py': 'lie4', u'chs': '\xe9\xac\xa3', u'vartype': 'old'}]",[]
144,䝔,huān,huan,1,[],"[{u'ch': '\xe7\x8d\xbe', u'py': 'huan1', u'chs': '\xe7\x8d\xbe', u'vartype': ''}]",[]
145,䞓,chēng,cheng,1,[],"[{u'ch': '\xe8\xb5\xac', u'py': 'cheng1', u'chs': '\xe8\xb5\xaa', u'vartype': 'old'}]",[]
146,䟆,bì,bi,4,[],"[{u'ch': '\xe8\xb9\x95', u'py': 'bi4', u'chs': '\xe8\xb7\xb8', u'vartype': 'old'}]",[]
147,䟖,zhǐ,zhi,3,[],"[{u'ch': '\xe8\xb6\xbe', u'py': 'zhi3', u'chs': '\xe8\xb6\xbe', u'vartype': 'erroneous'}]",[]
148,䠀,chǎng,chang,3,"['to squat', 'to sit']",[],[]
149,䠀,tāng,tang,1,[],"[{u'ch': '\xe8\xb6\x9f', u'py': 'tang1', u'chs': '\xe8\xb6\x9f', u'vartype': 'old'}]",[]
150,䠞,cù,cu,4,[],"[{u'ch': '\xe8\xb9\x99', u'py': 'cu4', u'chs': '\xe8\xb9\x99', u'vartype': ''}]",[]
151,䠶,shè,she,4,[],"[{u'ch': '\xe5\xb0\x84', u'py': 'she4', u'chs': '\xe5\xb0\x84', u'vartype': 'old'}]",[]
152,䤈,xī,xi,1,[],"[{u'ch': '\xe9\x86\xaf', u'py': 'xi1', u'chs': '\xe9\x86\xaf', u'vartype': 'old'}]",[]
153,䥑,mài,mai,4,['meitnerium (chemistry)'],[],[]
154,䥥,lián,lian,2,[],"[{u'ch': '\xe9\x90\xae', u'py': 'lian2', u'chs': '\xe9\x95\xb0', u'vartype': 'old'}]",[]
155,䥯,bà,ba,4,['plow'],[],[]
156,䦉,sì,si,4,[],"[{u'ch': '\xe8\x82\x86', u'py': 'si4', u'chs': '\xe8\x82\x86', u'vartype': ''}]",[]
157,䦕,pēng,peng,1,[],"[{u'ch': '\xe9\x96\x9b', u'py': 'peng1', u'chs': '\xe9\x96\x9b', u'vartype': ''}]",[]
158,䩦,tiáo,tiao,2,[],"[{u'ch': '\xe9\x9e\x97', u'py': 'tiao2', u'chs': '\xe9\x9e\x97', u'vartype': ''}]",[]
159,䫏,qī,qi,1,"['mask of a god used in ceremonies to exorcise demons and drive away pestilence', '(archaic) ugly']",[],[]
160,䬃,sà,sa,4,[],"[{u'ch': '\xe9\xa2\xaf', u'py': 'sa4', u'chs': '\xe9\xa3\x92', u'vartype': ''}]",[]
161,䬠,fēi,fei,1,[],"[{u'ch': '\xe9\x9c\x8f', u'py': 'fei1', u'chs': '\xe9\x9c\x8f', u'vartype': 'old'}]",[]
162,䬪,bó,bo,2,[],"[{u'ch': '\xe9\xa4\xba', u'py': 'bo2', u'chs': '\xe9\xa6\x8e', u'vartype': ''}]",[]
163,䭾,tuó,tuo,2,[],"[{u'ch': '\xe9\xa6\xb1', u'py': 'tuo2', u'chs': '\xe9\xa9\xae', u'vartype': ''}]",[]
164,䯝,suǐ,sui,3,"['marrow', 'essence', 'quintessence', 'pith (soft interior of plant stem)']","[{u'ch': '\xe9\xab\x93', u'py': '', u'chs': '\xe9\xab\x93', u'vartype': ''}]",[]
165,䰟,hún,hun,2,[],"[{u'ch': '\xe9\xad\x82', u'py': 'hun2', u'chs': '\xe9\xad\x82', u'vartype': 'old'}]",[]
166,䰾,bā,ba,1,['see \xe4\xb0\xbe\xe9\xad\x9a|\xe9\xb2\x83\xe9\xb1\xbc[ba1 yu2]'],[],[]
167,䲔,jīng,jing,1,[],"[{u'ch': '\xe9\xaf\xa8', u'py': 'jing1', u'chs': '\xe9\xb2\xb8', u'vartype': 'old'}]",[]
168,䳗,é,e,2,[],"[{u'ch': '\xe9\xb5\x9d', u'py': 'e2', u'chs': '\xe9\xb9\x85', u'vartype': ''}]",[]
169,䳘,é,e,2,[],"[{u'ch': '\xe9\xb5\x9d', u'py': 'e2', u'chs': '\xe9\xb9\x85', u'vartype': ''}]",[]
170,䴉,huán,huan,2,"['spoonbill', 'ibis', 'family Threskiornithidae']",[],[]
171,䴸,fū,fu,1,[],"[{u'ch': '\xe9\xba\xa9', u'py': 'fu1', u'chs': '\xe9\xba\xb8', u'vartype': ''}]",[]
172,䵹,zhī,zhi,1,[],"[{u'ch': '\xe8\x9c\x98', u'py': 'zhi1', u'chs': '\xe8\x9c\x98', u'vartype': 'old'}]",[]
173,䶑,tì,ti,4,[],"[{u'ch': '\xe5\x9a\x8f', u'py': 'ti4', u'chs': '\xe5\x9a\x8f', u'vartype': ''}]",[]
174,一,yī,yi,1,"['one', '1', 'single', 'a (article)', 'as soon as', 'entire', 'whole', 'all', 'throughout', '""one"" radical in Chinese characters (Kangxi radical 1)', 'also pr. [yao1] for greater clarity when spelling out numbers digit by digit']",[],[]
